query_ID	subject_ID	%identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score
AT1G64280.1	XP_022878977.1	34.043	94	51	4	291	381	170	255	1.4	32.7
AT1G64280.1	XP_022878976.1	30.275	109	70	2	270	372	212	320	0.001	42.7
AT1G64280.1	XP_022878976.1	27.826	115	76	3	244	353	222	334	0.047	37.4
AT1G64280.1	XP_022878976.1	34.043	94	51	4	291	381	170	255	1.4	32.7
AT1G64280.1	XP_022896977.1	31.193	109	62	3	270	370	229	332	0.001	42.4
AT1G64280.1	XP_022888493.1	27.326	172	79	5	245	372	52	221	0.002	42
AT1G64280.1	XP_022856394.1	29.371	143	93	4	245	381	226	366	0.002	42
AT1G64280.1	XP_022867651.1	26.429	140	93	5	270	405	52	185	0.003	40.4
AT1G64280.1	XP_022869875.1	31.667	120	76	2	270	383	231	350	0.01	39.7
AT1G64280.1	XP_022869874.1	31.667	120	76	2	270	383	232	351	0.01	39.7
AT1G64280.1	XP_022848871.1	27.536	138	78	5	297	433	84	200	0.014	38.9
AT1G64280.1	XP_022882245.1	29.87	154	91	9	229	368	61	211	0.019	38.5
AT1G64280.1	XP_022881179.1	31.25	112	74	3	289	399	176	285	0.021	38.5
AT1G64280.1	XP_022882988.1	31.111	135	80	6	244	369	77	207	0.025	38.1
AT1G64280.1	XP_022882988.1	28.235	85	56	1	270	349	170	254	0.03	38.1
AT1G64280.1	XP_022882980.1	31.111	135	80	6	244	369	77	207	0.025	38.1
AT1G64280.1	XP_022882980.1	28.235	85	56	1	270	349	170	254	0.03	38.1
AT1G64280.1	XP_022890791.1	28.676	136	88	4	244	372	77	210	0.028	38.1
AT1G64280.1	XP_022890791.1	24.468	94	66	1	270	358	170	263	0.35	34.7
AT1G64280.1	XP_022890790.1	28.676	136	88	4	244	372	77	210	0.028	38.1
AT1G64280.1	XP_022890790.1	24.468	94	66	1	270	358	170	263	0.35	34.7
AT1G64280.1	XP_022890789.1	28.676	136	88	4	244	372	77	210	0.028	38.1
AT1G64280.1	XP_022890789.1	24.468	94	66	1	270	358	170	263	0.35	34.7
AT1G64280.1	XP_022883300.1	32.71	107	66	4	270	371	243	348	0.035	37.7
AT1G64280.1	XP_022883300.1	28.09	89	61	1	290	375	351	439	0.38	34.7
AT1G64280.1	XP_022883300.1	29.87	77	53	1	294	370	392	467	8.4	30
AT1G64280.1	XP_022883764.1	26.168	107	74	2	264	366	255	360	0.043	37.4
AT1G64280.1	XP_022881209.1	27.407	135	85	6	246	370	82	213	0.046	37.4
AT1G64280.1	XP_022878534.1	26.277	137	83	4	244	369	97	226	0.048	36.6
AT1G64280.1	XP_022878534.1	32	50	34	0	298	347	188	237	0.048	36.6
AT1G64280.1	XP_022861168.1	27.778	108	74	2	268	371	32	139	0.061	37
AT1G64280.1	XP_022885959.1	31.343	67	35	1	74	140	173	228	0.073	37
AT1G64280.1	XP_022887305.1	28.671	143	94	4	245	381	224	364	0.074	37
AT1G64280.1	XP_022861296.1	32.692	104	65	3	270	369	87	189	0.077	36.2
AT1G64280.1	XP_022861296.1	32.051	78	53	0	292	369	46	123	0.2	34.7
AT1G64280.1	XP_022850820.1	28.986	69	48	1	298	366	154	221	0.099	35.8
AT1G64280.1	XP_022850819.1	28.986	69	48	1	298	366	155	222	0.1	35.8
AT1G64280.1	XP_022868205.1	31.776	107	67	4	270	371	243	348	0.14	35.8
AT1G64280.1	XP_022868205.1	23.611	144	87	5	320	440	384	527	0.41	34.3
AT1G64280.1	XP_022868205.1	30.488	82	56	1	294	375	392	472	1.7	32.3
AT1G64280.1	XP_022868205.1	27.619	105	69	2	270	369	177	279	8.2	30
AT1G64280.1	XP_022890917.1	30	120	78	2	270	383	232	351	0.14	35.8
AT1G64280.1	XP_022874935.1	34.444	90	57	2	292	381	69	156	0.15	35.8
AT1G64280.1	XP_022857829.1	36.17	47	30	0	307	353	38	84	0.15	35
AT1G64280.1	XP_022890918.1	30	120	78	2	270	383	230	349	0.16	35.8
AT1G64280.1	XP_022874934.1	34.444	90	57	2	292	381	69	156	0.16	35.8
AT1G64280.1	XP_022857828.1	36.17	47	30	0	307	353	38	84	0.16	35
AT1G64280.1	XP_022857827.1	36.17	47	30	0	307	353	38	84	0.16	35
AT1G64280.1	XP_022872756.1	25.294	170	103	6	270	433	164	315	0.16	35.8
AT1G64280.1	XP_022898150.1	34.615	78	42	2	297	370	194	266	0.17	35
AT1G64280.1	XP_022898149.1	32.558	86	49	2	289	370	233	313	0.2	35
AT1G64280.1	XP_022862267.1	28.986	69	48	1	301	369	631	698	0.23	35.4
AT1G64280.1	XP_022892425.1	24.031	129	69	5	273	380	502	622	0.27	35
AT1G64280.1	XP_022842504.1	29.167	72	50	1	298	369	199	269	0.33	34.3
AT1G64280.1	XP_022842503.1	29.167	72	50	1	298	369	200	270	0.34	34.3
AT1G64280.1	XP_022868445.1	26.05	119	79	2	268	377	15	133	0.38	34.3
AT1G64280.1	XP_022899277.1	32.258	62	42	0	320	381	84	145	0.4	33.9
AT1G64280.1	XP_022899277.1	23.944	71	54	0	299	369	30	100	6.9	30
AT1G64280.1	XP_022858326.1	28.75	80	52	1	270	344	212	291	0.5	33.9
AT1G64280.1	XP_022858326.1	32.979	94	52	4	291	381	170	255	1.8	32
AT1G64280.1	XP_022863188.1	28.333	120	70	5	244	351	84	199	0.53	33.9
AT1G64280.1	XP_022863188.1	25.688	109	74	2	245	348	51	157	2	32
AT1G64280.1	XP_022881661.1	29.577	71	49	1	299	369	312	381	0.55	33.9
AT1G64280.1	XP_022881660.1	29.577	71	49	1	299	369	312	381	0.55	33.9
AT1G64280.1	XP_022861169.1	36.538	52	33	0	320	371	5	56	0.55	33.9
AT1G64280.1	XP_022876825.1	27.397	73	51	2	478	550	121	191	0.57	33.9
AT1G64280.1	XP_022891704.1	33.962	53	35	0	320	372	351	403	0.62	33.9
AT1G64280.1	XP_022891704.1	27.586	116	79	3	259	370	320	434	1.8	32.3
AT1G64280.1	XP_022881655.1	29.577	71	49	1	299	369	728	797	0.79	33.5
AT1G64280.1	XP_022881654.1	29.577	71	49	1	299	369	731	800	0.8	33.5
AT1G64280.1	XP_022899353.1	27.273	121	70	4	321	440	68	171	1.1	32.7
AT1G64280.1	XP_022846531.1	30.556	72	50	0	298	369	187	258	1.3	32.7
AT1G64280.1	XP_022863180.1	30	110	61	5	244	341	84	189	1.4	32.7
AT1G64280.1	XP_022863180.1	25.688	109	74	2	245	348	51	157	2.2	32
AT1G64280.1	XP_022846516.1	37.5	40	25	0	320	359	566	605	1.6	32.7
AT1G64280.1	XP_022846515.1	37.5	40	25	0	320	359	566	605	1.6	32.7
AT1G64280.1	XP_022846514.1	37.5	40	25	0	320	359	633	672	1.7	32.7
AT1G64280.1	XP_022846513.1	37.5	40	25	0	320	359	634	673	1.7	32.3
AT1G64280.1	XP_022846512.1	37.5	40	25	0	320	359	634	673	1.7	32.3
AT1G64280.1	XP_022846511.1	37.5	40	25	0	320	359	638	677	1.8	32.3
AT1G64280.1	XP_022846510.1	37.5	40	25	0	320	359	638	677	1.8	32.3
AT1G64280.1	XP_022846509.1	37.5	40	25	0	320	359	638	677	1.8	32.3
AT1G64280.1	XP_022872434.1	31.325	83	46	2	298	370	96	177	1.9	32
AT1G64280.1	XP_022872434.1	37.736	53	32	1	322	373	86	138	2.2	32
AT1G64280.1	XP_022856317.1	27.835	97	63	2	245	336	51	145	2	32
AT1G64280.1	XP_022863013.1	26.852	108	73	2	268	369	146	253	2.1	32
AT1G64280.1	XP_022864445.1	31.313	99	64	2	275	369	720	818	2.1	32.3
AT1G64280.1	XP_022864445.1	33.333	72	43	2	270	337	749	819	2.5	32
AT1G64280.1	XP_022872433.1	31.325	83	46	2	298	370	187	268	2.3	32
AT1G64280.1	XP_022872433.1	37.736	53	32	1	322	373	177	229	2.7	31.6
AT1G64280.1	XP_022854940.1	34.328	67	39	1	300	366	238	299	2.4	32
AT1G64280.1	XP_022893467.1	34.615	52	34	0	320	371	88	139	2.6	32
AT1G64280.1	XP_022851681.1	41.463	41	24	0	331	371	460	500	2.7	32
AT1G64280.1	XP_022851682.1	41.463	41	24	0	331	371	460	500	3.4	31.6
AT1G64280.1	XP_022859541.1	21.839	174	99	7	72	239	106	248	3.8	30.8
AT1G64280.1	XP_022897763.1	27.027	37	27	0	309	345	294	330	4.2	31.2
AT1G64280.1	XP_022879617.1	37.209	43	27	0	329	371	614	656	4.7	31.2
AT1G64280.1	XP_022886113.1	31.707	82	47	2	298	370	187	268	4.9	30.8
AT1G64280.1	XP_022879616.1	37.209	43	27	0	329	371	657	699	5	30.8
AT1G64280.1	XP_022860359.1	25.758	132	80	3	321	451	62	176	5.1	30.8
AT1G64280.1	XP_022864514.1	30.282	142	86	6	226	366	457	586	5.1	30.8
AT1G64280.1	XP_022860358.1	25.758	132	80	3	321	451	62	176	5.3	30.8
AT1G64280.1	XP_022887755.1	33.333	90	58	2	292	381	70	157	5.3	30.8
AT1G64280.1	XP_022887754.1	33.333	90	58	2	292	381	70	157	5.3	30.8
AT1G64280.1	XP_022887752.1	33.333	90	58	2	292	381	70	157	5.3	30.8
AT1G64280.1	XP_022887751.1	33.333	90	58	2	292	381	70	157	5.3	30.8
AT1G64280.1	XP_022894979.1	34.615	52	34	0	298	349	98	149	5.6	30.8
AT1G64280.1	XP_022894978.1	34.615	52	34	0	298	349	98	149	5.6	30.8
AT1G64280.1	XP_022894977.1	34.615	52	34	0	298	349	98	149	6.1	30.8
AT1G64280.1	XP_022894976.1	34.615	52	34	0	298	349	98	149	6.1	30.8
AT1G64280.1	XP_022894975.1	34.615	52	34	0	298	349	98	149	6.1	30.8
AT1G64280.1	XP_022890576.1	39.024	41	22	1	73	113	214	251	6.5	30.4
AT1G64280.1	XP_022894980.1	34.615	52	34	0	298	349	16	67	6.8	30.4
AT1G64280.1	XP_022864266.1	32.222	90	48	4	291	372	155	239	8.3	30
AT1G64280.1	XP_022858752.1	32.075	53	36	0	320	372	275	327	8.5	30
AT1G64280.1	XP_022883249.1	31.343	67	44	2	314	378	81	147	9	30
AT1G64280.1	XP_022880946.1	24.627	134	87	4	270	389	302	435	9	30
AT1G64280.1	XP_022880631.1	28.302	53	37	1	200	251	398	450	9	30
AT1G64280.1	XP_022864262.1	32	100	57	5	244	335	122	218	9.6	29.6
AT1G64280.1	XP_022880868.1	32.759	58	39	0	292	349	63	120	9.7	28.9
